date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
3/18/21,10:00:00,0.0,3.611000061,96.53379822,0.0,931.9628906,64.5,2.545584202,5.460999966,7.611000061,0.319999993,0.317000002,N
3/18/21,11:00:00,0.0,3.960999966,95.19070435,0.0,931.6118774,98.70000458,3.671293974,5.410999775,7.460999966,0.319999993,0.317000002,N
3/18/21,12:00:00,0.0,5.111000061,92.60201263,1.700000048,931.5003662,54.29999924,3.4152596,6.111000061,7.511000156,0.335999995,0.319000006,N
3/18/21,13:00:00,0.0,4.611000061,93.22756195,0.0,931.4421997,33.89999771,1.484318018,6.011000156,7.410999775,0.335999995,0.319000006,N
3/18/21,14:00:00,0.0,5.06099987,85.68701935,0.0,932.2166138,61.79999924,4.104631424,5.611000061,7.31099987,0.335999995,0.319000006,N
3/18/21,15:00:00,0.0,5.56099987,83.6461792,0.0,932.6402588,100.0,4.104631424,5.761000156,7.210999966,0.335000008,0.319000006,N
3/18/21,16:00:00,0.0,6.910999775,80.92042542,0.0,932.8580933,83.3999939,3.4152596,6.511000156,7.160999775,0.335000008,0.319000006,N
3/18/21,17:00:00,0.0,8.861000061,78.69404602,0.0,933.15625,76.20000458,6.43987608,7.710999966,7.210999966,0.333999991,0.319000006,N
3/18/21,18:00:00,0.0,10.76100063,75.27674103,0.0,933.5239258,99.90000916,9.38765049,9.161000252,7.31099987,0.333000004,0.317999989,N
3/18/21,19:00:00,0.0,10.76100063,72.97923279,0.300000012,933.6154175,100.0,11.54247761,9.861000061,7.511000156,0.335000008,0.317999989,N
3/18/21,20:00:00,0.0,10.41100025,77.58323669,0.300000012,933.6976318,100.0,11.96695423,10.16100025,7.710999966,0.337000012,0.317999989,N
3/18/21,21:00:00,0.0,10.16100025,82.76417542,0.5,933.7169189,100.0,10.80599785,10.31100082,7.910999775,0.340000004,0.317999989,N
3/18/21,22:00:00,0.0,9.911000252,88.270401,0.300000012,933.4616089,100.0,11.98318768,10.26100063,8.061000824,0.342000008,0.317999989,N
3/18/21,23:00:00,0.0,10.51100063,87.7272644,0.200000003,933.2688599,100.0,15.62997055,10.36100006,8.261000633,0.342999995,0.317999989,N
3/19/21,0:00:00,0.0,9.811000824,98.99943542,0.5,933.3409424,100.0,12.47596073,10.51100063,8.611000061,0.370000005,0.32100001,N
3/19/21,1:00:00,0.0,9.061000824,96.6796875,1.700000048,933.0315552,100.0,12.28755474,10.01100063,8.711000443,0.389999986,0.321999997,N
3/19/21,2:00:00,0.0,8.611000061,99.66230011,1.100000024,932.9918823,100.0,10.38398743,9.461000443,8.811000824,0.400999993,0.323000014,N
3/19/21,3:00:00,0.0,8.311000824,99.66149902,0.300000012,933.2700806,100.0,10.08642673,9.011000633,8.811000824,0.400000006,0.324999988,N
3/19/21,4:00:00,0.0,8.211000443,99.66121674,0.300000012,933.8810425,100.0,12.72792149,8.761000633,8.811000824,0.398999989,0.326000005,N
3/19/21,5:00:00,0.0,7.960999966,99.66055298,0.200000003,934.173645,99.59999847,9.085988045,8.561000824,8.811000824,0.398000002,0.328000009,N
3/19/21,6:00:00,0.0,7.611000061,99.65960693,0.0,934.1621704,100.0,6.130578518,8.261000633,8.761000633,0.395000011,0.328999996,N
3/19/21,7:00:00,0.0,7.660999775,99.65974426,0.200000003,933.9938354,100.0,4.693825722,8.111000061,8.711000443,0.393999994,0.330000013,N
3/19/21,8:00:00,0.0,7.81099987,99.32132721,0.400000006,934.2211914,100.0,5.495161057,8.111000061,8.661000252,0.397000015,0.331,N
3/19/21,9:00:00,0.0,7.960999966,98.98469543,0.899999976,934.5395508,100.0,6.297428131,8.111000061,8.611000061,0.405000001,0.333000004,N
3/19/21,10:00:00,0.0,8.011000633,99.3223877,0.800000012,934.4627686,100.0,6.43987608,8.161000252,8.611000061,0.409999996,0.335000008,N
3/19/21,11:00:00,0.0,7.960999966,99.66055298,0.400000006,934.2651978,100.0,6.830519199,8.211000443,8.561000824,0.409000009,0.337000012,N
3/19/21,12:00:00,0.0,7.81099987,99.32132721,0.100000001,934.2211914,100.0,3.960000038,8.161000252,8.611000061,0.389999986,0.331999987,N
3/19/21,13:00:00,0.0,7.861000061,99.32158661,0.0,934.6930542,100.0,5.351784706,8.161000252,8.611000061,0.386999995,0.333000004,N
3/19/21,14:00:00,0.0,7.710999966,99.32076263,0.100000001,934.7404785,100.0,5.241678715,8.111000061,8.561000824,0.386000007,0.333999991,N
3/19/21,15:00:00,0.0,7.710999966,98.64561462,0.0,935.0148315,100.0,4.80299902,8.111000061,8.511000633,0.384000003,0.333999991,N
3/19/21,16:00:00,0.0,8.311000824,96.66014862,0.0,935.4655762,100.0,5.411986351,8.561000824,8.511000633,0.381999999,0.335000008,N
3/19/21,17:00:00,0.0,9.211000443,85.53369141,0.0,935.6373901,64.80000305,5.771238804,9.261000633,8.561000824,0.379999995,0.335000008,N
3/19/21,18:00:00,0.0,10.51100063,74.71747589,0.0,935.923645,83.1000061,5.804825306,10.16100025,8.661000252,0.377999991,0.335999995,N
3/19/21,19:00:00,0.0,11.21100044,70.58742523,0.0,935.9423218,93.90000153,8.854828835,10.96100044,8.811000824,0.375999987,0.335999995,N
3/19/21,20:00:00,0.0,10.76100063,71.72979736,0.0,935.8126221,100.0,9.983105659,11.11100006,8.961000443,0.374000013,0.335999995,N
3/19/21,21:00:00,0.0,10.31100082,73.40318298,0.100000001,935.40802,100.0,10.82995892,11.01100063,9.111000061,0.372000009,0.335999995,N
3/19/21,22:00:00,0.0,9.911000252,74.8720932,0.100000001,934.8344727,100.0,10.89557648,10.76100063,9.211000443,0.370999992,0.337000012,N
